序号,编号,状态,标题,副标题,作者,语言,出版日期,类型,出版社,开本,页数,印字,ISBN/ASIN,价格,购买地,购买日期,阅读日期,阅读日期2,评分,简评,
101,2016-009,1遍,决策是如何产生的,,James G.March,中文,2013年10月,管理,机械工业出版社,16开,220,,9787111422778,¥29.80,亚马逊,2016年1月,2017年3月,,★★★★☆,“实际上”是如何产生的,
102,2016-010,未读,企业文化,,Terrence E.Deal,中文,2008年1月,管理,中国人民大学出版社,16开,212,,9787300085999,¥28.80,亚马逊,2016年1月,,,,,
103,2016-011,未读,组织,,James G.March,中文,2013年5月,管理,机械工业出版社,16开,217,,9787111422631,¥36.60,亚马逊,2016年1月,,,,,
104,2016-012,1遍,沃顿商学院权利与组织管理课,,拉里·格雷纳,中文,2014年8月,管理,中国青年出版社,32开,191,,9787515324784,¥25.30,亚马逊,2016年1月,2016年6月,,,,
105,2016-013,未读,权利之殇,民营企业公司治理,马金平,中文,2011年2月,管理,天津大学出版社,16开,196,,9787561838433,¥17.80,亚马逊,2016年1月,,,,,
106,2016-014,未读,组织设计,如何构建高效能团队,David P.Hanna,中文,2014年8月,管理,中国青年出版社,32开,256,,9787515324418,¥24.40,亚马逊,2016年1月,,,,,
107,2016-015,未读,伦理学的两个基本问题,,叔本华,中文,2010年10月,哲学,商务印书馆,32开,308,,9787100027731,¥20.00,京东,2016年1月,,,,,
108,2016-016,未读,作为意志和表象的世界,,叔本华,中文,1982年11月,哲学,商务印书馆,32开,736,,9787100011662,¥42.40,京东,2016年1月,,,,,
109,2016-017,1遍,自卑与超越,,Alfred Adler,中文,2013年9月,心理学,中国人民大学出版社,16开,,,9787300178073,¥36.90,京东,2016年1月,2016年8月,,,,
110,2016-018,未读,身体意识与身体美学,,理查德·舒斯特曼,中文,2011年7月,心理学,商务印书馆,32开,324,,9787100083195,¥23.80,京东,2016年1月,,,,,
111,2016-019,未读,24重人格,,卡梅伦·韦斯特,中文,2013年4月,心理学,上海译文出版社,32开,228,,9787532760879,¥35.30,京东,2016年1月,,,,,
112,2016-020,1遍,研发组织管理,用好天才团队,Ravi K.Jain,中文,2013年6月,管理,知识产权出版社,16开,445,,9787513020121,¥57.80,京东,2016年2月,2016年4月,,★★★☆☆,,
113,2016-021,未读,功利主义,,John Stuart Mill,中文,2014年5月,哲学,商务印书馆,32开,84,,9787100099417,¥10.00,京东,2016年2月,,,,,
114,2016-022,未读,软件测试实战,微软技术专家经验总结,史亮,中文,2014年4月,计算机,人民邮电出版社,16开,340,,9787115345844,¥58.10,京东,2016年2月,,,,,
115,2016-023,未读,软件测试,,Paul C.Jorgensen,中文,2005年11月,计算机,机械工业出版社,16开,318,,9787111121664,¥29.90,京东,2016年2月,,,,,
116,2016-024,1遍,软件测试,,Ron Patton,中文,2006年4月,计算机,机械工业出版社,16开,254,,9787111185260,¥24.20,京东,2016年2月,2016年2月,,★★★☆☆,,
117,2016-025,未读,道德与立法原理导论,,边沁,中文,2000年11月,哲学,商务印书馆,32开,437,,9787100042994,¥30.40,京东,2016年2月,,,,,
118,2016-026,1遍,研发企业必备的53个制度和61个流程,,王永挺，韩鸿泉,中文,2014年6月,管理,人民邮电出版社,16开,289,,9787115358042,¥37.20,京东,2016年2月,2016年4月,,★★★☆☆,,
119,2016-027,1遍,软件测试实用技术与常用模板,,李龙,中文,2010年10月,计算机,机械工业出版社,16开,335,,9787111319504,¥36.10,京东,2016年2月,2016年2月,,★★★☆☆,,
120,2016-028,1遍,弗布克部门精细化管理系列：研发部,,金成哲,中文,2013年8月,管理,电子工业出版社,16开,268,471,9787121208799,¥24.40,京东,2016年2月,2016年2月,,★★★☆☆,,
121,2016-029,放弃,弗布克部门精细化管理系列：质量部,,姚小风,中文,2013年8月,管理,电子工业出版社,16开,300,528,9787121210075,¥29.30,京东,2016年3月,,,,,
122,2016-030,1遍,弗布克部门精细化管理系列：技术部,,池永明,中文,2013年9月,管理,电子工业出版社,16开,316,,9787121212666,¥33.80,京东,2016年3月,2016年3月,,★★★☆☆,,
123,2016-031,未读,研发企业管理：思想、方法、流程和工具,,林锐，彭韧,中文,2014年1月,管理,人民邮电出版社,16开,421,561,9787115329226,¥48.30,京东,2016年3月,,,,,
124,2016-032,1遍,中层领导力,,John C Maxwell,中文,2015年5月,管理,江苏凤凰文艺出版社,16开,315,247,9787539976549,¥27.90,京东,2016年3月,2016年3月,,★★★☆☆,,
125,2016-033,1遍,软件项目管理,,Bob Hughes, Mike Cotterell,中文,2010年9月,管理,机械工业出版社,16开,280,,9787111309642,¥34.20,京东,2016年3月,2016年3月,,★★★☆☆,,
126,2016-034,1遍,需求分析与系统设计,,麦斯阿塞克,中文,2009年9月,产品,机械工业出版社,16开,401,,9787111272809,¥51.70,京东,2016年3月,2016年3月,,★★★☆☆,,
127,2016-035,1遍,软件开发方法学精选系列：掌握需求过程,,Suzanne Robertson,中文,2014年1月,产品,人民邮电出版社,16开,412,,9787115331816,¥67.10,京东,2016年3月,2016年4月,,★★★★★,非常好的概述和具体工作指南,
128,2016-036,1遍,产品经理手册,,Linda Gorchels,中文,2015年4月,产品,机械工业出版社,16开,333,,9787111498223,¥37.90,京东,2016年3月,2016年4月,,★★★☆☆,高屋建瓴，概要性指导，作为对产品经理岗位的定义更合适,
129,2016-037,未读,上帝掷骰子吗？：量子物理史话,,曹天元,中文,2013年9月,物理,北京联合出版公司,16开,381,349,9787550217454,¥33.40,京东,2016年3月,,,,,
130,2016-038,阅读中,微电网 架构与控制,,Nikos Hatziargyriou,中文,2015年8月,电力,机械工业出版社,16开,290,,9787111507116,¥71.20,京东,2016年3月,,,,,
131,2016-039,未读,智能电网：基础设施、相关技术及解决方案,,Stuart Borlase,中文,2015年8月,电力,机械工业出版社,16开,537,,9787111498872,¥119.20,京东,2016年3月,,,,,
132,2016-040,1遍,微电网和主动配电网,,Chowdhury,中文,2014年8月,电力,机械工业出版社,16开,232,,9787111469377,¥47.10,京东,2016年3月,2017年4月,,,,
133,2016-041,未读,关键对话：如何高效能沟通,,Kerry Patterson,中文,2013年10月,管理,机械工业出版社,16开,204,,9787111378457,¥31.50,京东,2016年3月,,,,,
134,2016-042,未读,智能电网技术,,刘振亚,中文,2010年4月,电力,中国电力出版社,16开,382,420,9787512302235,¥58.30,京东,2016年3月,,,,,
135,2016-043,未读,马斯洛论管理,,Maslow A.H.,中文,2013年5月,管理,机械工业出版社,16开,395,,9787111422471,¥39.20,京东,2016年4月,,,,,
136,2016-044,1遍,动机与人格,,Maslow A.H.,中文,2013年9月,心理学,中国人民大学出版社,16开,,,9787300178066,¥43.50,京东,2016年4月,2017年1月,,★★★★☆,,
137,2016-045,未读,人性能达到的境界,,Maslow A.H.,中文,2014年9月,心理学,世界图书出版公司,16开,,,9787510071799,¥51.80,京东,2016年4月,,,,,
138,2016-046,1遍,What if?,,Randall Munroe,英文,2014年7月,社科,Houghton Mifflin Harcourt,Kindle,,,,¥0.00,网络,2016年4月,2016年4月,,★★★★★,脑洞大真好,
139,2016-047,1遍,太阳能热发电技术,,黄湘，王志峰,中文,2013年6月,电力,中国电力出版社,16开,212,,9787512338210,¥60.40,京东,2016年5月,2016年5月,,,,
140,2016-048,未读,新产品开发流程管理·以市场为驱动,,罗伯特·G·库伯,中文,2013年3月,管理,电子工业出版社,16开,368,,9787121195822,¥37.80,京东,2016年5月,,,,,
141,2016-049,未读,华为研发,,张利华,中文,2012年11月,管理,机械工业出版社,16开,344,,9787111400905,¥39.60,京东,2016年5月,,,,,
142,2016-050,未读,产品战略规划,,张甲华,中文,2014年5月,产品,清华大学出版社,16开,258,224,9787302361329,¥28.50,京东,2016年5月,,,,,
143,2016-051,1遍,研发绩效管理手册,,青铜器软件公司,中文,2012年9月,管理,电子工业出版社,16开,200,,9787121179174,¥23.40,京东,2016年5月,2016年5月,,★★☆☆☆,行文辣鸡，很practical,
144,2016-052,未读,产品研发管理,构建世界一流的产品研发管理体系,周辉,中文,2012年1月,管理,电子工业出版社,16开,238,,9787121152405,¥49.30,京东,2016年5月,,,,,
145,2016-053,1遍,产品经理方法论,,乔克·布苏蒂尔,中文,2016年3月,产品,中信出版集团,32开,239,,9787508656519,¥36.00,京东,2016年5月,2017年5月,,,囫囵吞枣。送亚峰了,
146,2016-054,1遍,传热学,,杨世铭，陶文铨,中文,2006年8月,热学,高等教育出版社,16开,591,720,9787040189186,¥47.60,京东,2016年5月,,,,,
147,2016-055,未读,工程热力学,,沈维道，童钧耕,中文,2007年6月,热学,高等教育出版社,16开,480,570,9787040214475,¥41.80,京东,2016年5月,,,,,
148,2016-056,1遍,绩效量化考核与薪酬体系设计全案,,王瑞永，全鑫,中文,2011年3月,管理,人民邮电出版社,16开,562,,9787115247759,¥67.50,京东,2016年5月,2016年5月,,★★☆☆☆,嚼之无味,
149,2016-057,未读,厚黑学,,李宗吾,中文,2006年9月,社科,群言出版社,16开,250,,9787800806063,¥0.00,网络,2016年5月,,,,,
150,2016-058,未读,China's Economy,What Everyone Needs to Know,Arthur R. Kroeber ,英文,2016年4月,经济,Oxford University Press,16开,336,,9780190239039,¥30.00,淘宝,2016年5月,,,,,
151,2016-059,未读,Man's Search for Meaning,,Viktor E. Frankl,英文,1999年2月,社科,Blackstone Audiobooks,16开,224,,9780786113873,¥30.00,淘宝,2016年5月,,,,,
152,2016-060,未读,哈佛商学院冲突管理课,,Richard E. Walton,中文,2014年8月,心理学,中国青年出版社,32开,190,,9787515324128,¥20.60,京东,2016年6月,,,,,
153,2016-061,1遍,如何制定战略规划,,王吉鹏,中文,2011年11月,管理,企业管理出版社,16开,222,220,9787802559073,¥27.40,京东,2016年6月,2016年6月,,★★★☆☆,,
154,2016-062,放弃,S.忒休斯之船,,J.J.艾布拉姆斯,中文,2016年6月,小说,中信出版集团,16开,456,,9787508650951,¥126.00,京东,2016年7月,,,,,
155,2016-063,1遍,社会分层与不平等,历史、比较、全球视角下的阶级冲突,哈罗德·R·克博,中文,2012年7月,社科,上海人民出版社,16开,805,,9787208105843,¥73.70,京东,2016年7月,2016年7月,,★★★★★,How the world runs,
156,2016-064,未读,厚黑学,,李宗吾,中文,2006年9月,社科,群言出版社,16开,250,,9787800806063,¥11.90,京东,2016年7月,,,,,
157,2016-065,未读,金融工程,,佩里H·博蒙特,中文,2010年4月,金融,机械工业出版社,16开,243,,9787111299400,¥32.20,京东,2016年7月,,,,,
158,2016-066,未读,私募股权基金筹备、 运营与管理,法律事务与操作细节,刘乃进,中文,2015年5月,金融,法律出版社,16开,363,,9787511875655,¥52.50,京东,2016年7月,,,,,
159,2016-067,未读,人间草木,,汪曾祺,中文,2005年1月,散文,江苏文艺出版社,32开,315,,9787539921969,¥22.00,京东,2016年7月,,,,,
160,2016-068,未读,人间滋味,,汪曾祺,中文,2014年4月,散文,天津人民出版社,32开,216,,9787201086545,¥24.00,京东,2016年7月,,,,,
161,2016-069,未读,IBM帝国缔造者,小沃森自传,小托马斯·约翰·沃森,中文,2015年8月,传记,北京联合出版社,16开,424,409,9787550248298,¥42.80,京东,2016年7月,,,,,
162,2016-070,未读,富甲美国,沃尔玛创始人山姆·沃尔顿自传,山姆·沃尔顿,中文,2015年6月,传记,江苏凤凰文艺出版社,16开,332,,9787539983073,¥33.00,京东,2016年7月,,,,,
163,2016-071,未读,王阳明,,秦家懿,中文,2011年12月,哲学,三联书店,32开,226,180,9787108037923,¥22.30,京东,2016年7月,,,,,
164,2016-072,未读,谁说大象不能跳舞？,,郭士纳,中文,2015年10月,传记,中信出版集团,32开,340,269,9787508655482,¥38.20,京东,2016年7月,,,,,
165,2016-073,未读,传习录,,王阳明,中文,2014年7月,哲学,北京时代华文书局,16开,312,,9787807695868,¥25.80,京东,2016年7月,,,,,
166,2016-074,1遍,最好的告别,关于衰老与死亡，你必须知道的常识,Atul Gawande,中文,2015年8月,散文,浙江人民出版社,16开,248,,9787213067792,¥34.70,京东,2016年7月,2016年8月,,★★★★★,向死而生,
167,2016-075,1遍,跑步圣经,,赫尔伯特·史迪凡尼,中文,2015年3月,运动,北京科学技术出版社,16开,351,,978530475218,¥36.60,亚马逊,2016年7月,2016年7月,,★★★★☆,Practical,
168,2016-076,1遍,翻译的基本知识（修订版）,,钱歌川,中文,2015年6月,语言学,北京联合出版公司,32开,148,,9787550250925,¥20.80,亚马逊,2016年7月,2017年2月,,★★★★☆,大师之作。看了前半部，讲通论。后半部分具体实践未看,
169,2016-077,未读,Elon Musk,Tesla, SpaceX, and the Quest for a Fantastic Future,Vance, Ashlee,英文,2016年4月,传记,Ecco,32开,448,,9780062469670,¥45.50,亚马逊,2016年7月,,,,,
170,2016-078,1遍,人类简史,从动物到上帝,Yuval Noah Harari,中文,2014年11月,历史,中信出版社,16开,440,,9787508647357,¥40.80,京东,2016年8月,2016年11月,,★★★☆☆,视角独特，耸人听闻,
171,2016-079,未读,2014-2015中国出版业发展报告,,范军，冯建辉,中文,2015年9月,社会学,中国书籍出版社,16开,311,328,9787506851640,¥64.00,京东,2016年8月,,,,,
172,2016-080,未读,2016年中国电影产业研究报告,,中国电影家协会，中国文联电影艺术中心,中文,2016年5月,社会学,中国电影出版社,16开,322,440,9787106044367,¥63.90,京东,2016年8月,,,,,
