序号,编号,状态,标题,副标题,作者,语言,出版日期,类型,出版社,开本,页数,印字,ISBN/ASIN,价格,购买地,购买日期,阅读日期,阅读日期2,评分,简评,
207,2017-028,1遍,北京的城墙与城门,,喜仁龙,中文,2017年3月,历史,北京联合出版公司,16开,344,,9787550297456,¥51.00,京东,2017年5月,2017年5月,,★★★★★,,
208,2017-029,未读,鱼王,,维克托·阿斯塔菲耶夫,中文,2017年4月,小说,广西师范大学出版社,32开,638,448,9787549586547,¥66.30,京东,2017年5月,,,,,
209,2017-030,未读,相约星期二,,米奇·阿尔博姆,中文,2014年6月,小说,上海译文出版社,32开,196,,9787532742707,¥17.30,京东,2017年5月,,,,,
210,2017-031,未读,摆渡人,, 克莱儿·麦克福尔,中文,2015年6月,小说,百花洲文艺出版社,32开,280,220,9787550013247,¥17.00,京东,2017年5月,,,,,
211,2017-032,阅读中,浮生六记,,沈复,中文,1900年1月,散文,电子书,A4,28,,-,¥0.00,Kindle,2017年5月,,,,,
212,2017-033,1遍,忏悔录,上,卢梭,中文,2010年12月,传记,商务印书馆,大32开,852,,9787100068475,¥0.00,京东,2017年5月,2017年5月,李平沤 译,★★★★☆,荒诞、充满幻想和不羁的青年,
213,2017-034,1遍,忏悔录,下,卢梭,中文,2010年12月,传记,商务印书馆,大32开,852,,9787100068475,¥49.20,京东,2017年5月,2017年5月,李平沤 译,,半看半弃,
214,2017-035,未读,论人类不平等的起源和基础,,卢梭,中文,2015年4月,哲学,浙江文艺出版社,32开,200,92,9787533941833,¥22.10,京东,2017年5月,,,,,
215,2017-036,未读,科技之巅,,麻省理工科技评论,中文,2017年1月,科学,人民邮电出版社,16开,311,,9787115437686,¥44.10,京东,2017年5月,,,,,
216,2017-037,未读,科技之巅2,,麻省理工科技评论,中文,2017年6月,科学,人民邮电出版社,16开,244,328,9787115455949,¥69.60,京东,2017年5月,,,,,
217,2017-038,未读,北京中轴线变迁研究,,郭超,中文,2012年2月,历史,学苑出版社,16开,434,,9787507739664,¥67.50,京东,2017年5月,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,开销,完成率,阅读中,未读,数量,,,
,,,,,,,,,,,,,2015,¥2,938.08,52.2%,8.7%,35.9%,92 ,,,
,,,,,,,,,,,,,2016,¥3,404.00,36.8%,2.3%,57.5%,87 ,,,
,,,,,,,,,,,,,2017,¥1,355.00,26.3%,2.6%,71.1%,38 ,,,
,,,,,,,,,,,69497,,SUM,¥7,697.08,41.0%,5.1%,50.7%,217 ,,,
